part_num,name,part_cat_id,part_material
30044,Window 1 x 2 x 2 2/3 with Rounded Top,Windows and Doors,Plastic
30045,Window 1 x 2 x 2 & 2/3 Pane Twisted Bar with Rounded Top,Windows and Doors,Plastic
30046,Window 1 x 2 x 2 2/3 Pane Lattice Diamond with Rounded Top,Windows and Doors,Plastic
3005,Brick 1 x 1,Bricks,Plastic
30055,Fence Spindled 1 x 4 x 2 [2 Top Studs],"Bars, Ladders and Fences",Plastic
30056,Fence Spindled 4 x 4 x 2 Quarter Round with 2 Studs,"Bars, Ladders and Fences",Plastic
3006,Brick 2 x 10,Bricks,Plastic
30062,Plate Special 6 x 6 Octagonal with Opening,Plates Special,Plastic
3007,Brick 2 x 8,Bricks,Plastic
30072,Brick 12 x 24,Bricks,Plastic
30073,Door 1 x 6 x 8 Left,Windows and Doors,Plastic
30074,Door 1 x 6 x 8 Right,Windows and Doors,Plastic
30077,Fence 1 x 6 x 2,"Bars, Ladders and Fences",Plastic
30079,Panel 3 x 3 x 3 Corner Convex,Panels,Plastic
3008,Brick 1 x 8,Bricks,Plastic
30080,Panel 4 x 3 x 3 with Porthole,Panels,Plastic
3009,Brick 1 x 6,Bricks,Plastic
30094,Plate Special 2 x 2 with Bar Frame Square,Plates Special,Plastic
30095,Bar 7 x 3 [4 Clips],"Bars, Ladders and Fences",Plastic
30099,Brick Arch 1 x 5 x 4 Inverted,Bricks Curved,Plastic
3010,Brick 1 x 4,Bricks,Plastic
30100,Panel 3 x 6 x 6 Double Wall with Arched Window,Panels,Plastic
30101,Door Frame 2 x 8 x 6 Swivel with Bottom Notches,Windows and Doors,Plastic
30102,"Door 2 x 5 x 5 Swivel, Flat Base",Windows and Doors,Plastic
30110,Fence 2 x 12 x 6,"Bars, Ladders and Fences",Plastic
30116,Panel 14 x 14 x 2.667 Quarter Saucer [Plain],Panels,Plastic
30117,Panel 10 x 10 x 2 1/3 Quarter Saucer Top,Panels,Plastic
30118,Wing Plate Bi-level 8 x 4 and 2 x 3 1/3 Up,Plates Angled,Plastic
30119,Wing Plate Bi-level 8 x 4 and 2 x 3 1/3 Down,Plates Angled,Plastic
30134,Stairs 7 x 4 x 6 Straight Open,"Bars, Ladders and Fences",Plastic
30136,Brick Special 1 x 2 Palisade [aka Log],Bricks Special,Plastic
30137,Brick Special 1 x 4 Palisade [aka Log],Bricks Special,Plastic
30140,Panel 2 x 6 x 6 Log Wall [Palisade],Panels,Plastic
30144,Brick 2 x 4 x 3,Bricks,Plastic
30145,Brick 2 x 2 x 3,Bricks,Plastic
30151,Brick Round 2 x 2 x 1 2/3 Dome Top [Undetermined Stud],Bricks Round and Cones,Plastic
30151a,Brick Round 2 x 2 x 1 2/3 Dome Top [Blocked Open Stud],Bricks Round and Cones,Plastic
30151b,Brick Round 2 x 2 x 1 2/3 Dome Top [Hollow Stud],Bricks Round and Cones,Plastic
30155,Wheel Spoked 2 x 2 with Pin Hole,Wheels and Tyres,Plastic
30156,Panel 4 x 6 x 6 Sloped,Panels,Plastic
30157,Plate Special 2 x 4 with Pins,Plates Special,Plastic
30165,Brick Curved 2 x 2 with Two Top Studs,Bricks Curved,Plastic
30178c01,Door 1 x 4 x 6 with 3 Panes (Complete),Windows and Doors,Plastic
30179,Door Frame 1 x 4 x 6 Type 1,Windows and Doors,Plastic
30180,Slope 45° 10 x 2 x 2 Double,Bricks Sloped,Plastic
30182,Slope 45° 4 x 4,Bricks Sloped,Plastic
30183,Slope Inverted 45° 6 x 4 Double with Recessed Center,Bricks Sloped,Plastic
30185c01,Window Bay 3 x 8 x 6 with Trans-Brown Glass,Windows and Doors,Plastic
30185c02,Window Bay 3 x 8 x 6 with Trans-Dark Blue Glass,Windows and Doors,Plastic
30185c03,Window Bay 3 x 8 x 6 with Trans-Light Blue Glass,Windows and Doors,Plastic
30185c04,Window Bay 3 x 8 x 6 with Trans-Clear Glass,Windows and Doors,Plastic
30185c05,Window Bay 3 x 8 x 6 with Trans-Green Glass,Windows and Doors,Plastic
30190,Wheel Centre Wide with Stub Axles [Tricycle],Wheels and Tyres,Plastic
30195,Plate Special 2 x 6 with 4 x 8 Half Saucer,Plates Special,Plastic
3020,Plate 2 x 4,Plates,Plastic
30201,Panel 10 x 10 x 2 2/3 Quarter Saucer Base,Bricks Round and Cones,Plastic
30208,Dome Hemisphere 4 x 4 Multifaceted,Bricks Round and Cones,Plastic
30209,Plate Special 1 x 2 with 4 x 4 disk at 90 degrees,Plates Special,Plastic
3021,Plate 2 x 3,Plates,Plastic
3022,Plate 2 x 2,Plates,Plastic
30223,Door 1 x 5 x 7 1/2 Stockade,Windows and Doors,Plastic
30225,"Baseplate 32 x 32 with 7-Stud Straight, Dual [Plain]",Baseplates,Plastic
3023,Plate 1 x 2,Plates,Plastic
30230,Wing Insectoid Large with Arm Hinge and Circuitry Print (Undetermined Orientation),Plates Angled,Plastic
30236,Brick Special 1 x 2 with Handle,Bricks Special,Plastic
3023a,Plate 1 x 2 [Old Style Bottom],Plates,Plastic
3024,Plate 1 x 1,Plates,Plastic
30246,Panel 3 x 4 x 6 with Arched Window,Panels,Plastic
30249,Slope 55° 1 x 6 x 5,Bricks Sloped,Plastic
30256,Tile Special 2 x 2 with Bar and Stud,Tiles Special,Plastic
3026,Plate 6 x 24,Plates,Plastic
3027,Plate 6 x 16,Plates,Plastic
30272,Brick Arch 2 x 12 x 6 with Grooves,Bricks Curved,Plastic
30274,Brick Special 2 x 3 x 3 with Cutout and Lion Head [Hollow Studs],Bricks Special,Plastic
3028,Plate 6 x 12,Plates,Plastic
30283,Slope Inverted 45° 6 x 4 Double with 4 x 4 Cutout,Bricks Sloped,Plastic
30285,Wheel 18 x 14 with Tread Small Hub,Wheels and Tyres,Plastic
30288,Panel 3 x 6 x 6 Sloped with Window,Panels,Plastic
3029,Plate 4 x 12,Plates,Plastic
